code_bassin;demandeurs_emploi;secteur_libelle
9309;2240;Hébergement et restauration
9309;2197;Activités spécialisées, scientifiques et techniques
9309;1882;Activités de services administratifs et de soutien
9309;1299;Information et communication
9309;1154;Santé humaine et action sociale
9309;986;Construction
9309;931;Industrie manufacturière
9309;596;Transports et entreposage
9309;486;Activités financières et d'assurance
9309;423;Enseignement
9309;367;Autres activités de services
9309;303;Administration publique
9309;208;Activités immobilières
9309;201;Arts, spectacles et activités récréatives
9309;73;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9309;49;Agriculture, sylviculture et pêche
9309;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9309;5;Industries extractives
9309;1;Activités extra-territoriales
9308;1730;Commerce -  réparation d'automobiles et de motocycles
9308;1576;Transports et entreposage
9308;1429;Activités de services administratifs et de soutien
9308;1269;Hébergement et restauration
9308;1160;Industrie manufacturière
9308;1045;Construction
9308;915;Activités spécialisées, scientifiques et techniques
9308;686;Santé humaine et action sociale
9308;207;Administration publique
9308;187;Autres activités de services
9308;153;Information et communication
9308;135;Arts, spectacles et activités récréatives
9308;97;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9308;94;Activités financières et d'assurance
9308;76;Enseignement
9308;53;Activités immobilières
9308;34;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9308;13;Agriculture, sylviculture et pêche
9308;5;Industries extractives
9308;1;Activité inconnue
9307;937;Commerce -  réparation d'automobiles et de motocycles
9307;793;Hébergement et restauration
9307;583;Industrie manufacturière
9307;484;Activités spécialisées, scientifiques et techniques
9307;457;Santé humaine et action sociale
9307;448;Construction
9307;415;Activités de services administratifs et de soutien
9307;212;Information et communication
9307;187;Transports et entreposage
9307;120;Autres activités de services
9307;89;Arts, spectacles et activités récréatives
9307;74;Activités financières et d'assurance
9307;67;Activités immobilières
9307;64;Enseignement
9307;56;Administration publique
9307;50;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9307;11;Agriculture, sylviculture et pêche
9307;6;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9306;4242;Commerce -  réparation d'automobiles et de motocycles
9306;3880;Hébergement et restauration
9306;3462;Santé humaine et action sociale
9306;3203;Activités de services administratifs et de soutien
9306;2618;Activités spécialisées, scientifiques et techniques
9306;2251;Construction
9306;1977;Transports et entreposage
9306;1254;Autres activités de services
9306;1112;Industrie manufacturière
9306;930;Enseignement
9306;775;Activités financières et d'assurance
9306;768;Information et communication
9306;501;Administration publique
9306;470;Arts, spectacles et activités récréatives
9306;440;Activités immobilières
9306;136;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9306;135;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9306;15;Activités extra-territoriales
9306;3;Agriculture, sylviculture et pêche
9306;1;Industries extractives
8461;166;Industrie manufacturière
8461;146;Commerce -  réparation d'automobiles et de motocycles
8461;137;Hébergement et restauration
8461;76;Construction
8461;60;Santé humaine et action sociale
8461;53;Activités de services administratifs et de soutien
8461;36;Transports et entreposage
8461;34;Activités spécialisées, scientifiques et techniques
8461;31;Administration publique
8461;22;Activités financières et d'assurance
8461;16;Autres activités de services
8461;14;Information et communication
8461;11;Agriculture, sylviculture et pêche
8461;8;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8461;7;Arts, spectacles et activités récréatives
8461;6;Enseignement
8461;3;Activités immobilières
8460;90;Industrie manufacturière
8460;69;Commerce -  réparation d'automobiles et de motocycles
8460;69;Santé humaine et action sociale
8460;42;Hébergement et restauration
8460;29;Construction
8460;27;Activités de services administratifs et de soutien
8460;26;Activités spécialisées, scientifiques et techniques
8460;23;Administration publique
8460;22;Arts, spectacles et activités récréatives
8460;17;Autres activités de services
8460;6;Agriculture, sylviculture et pêche
8460;5;Transports et entreposage
8460;3;Activités financières et d'assurance
8460;3;Enseignement
8460;1;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8460;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8460;1;Activités immobilières
8458;301;Commerce -  réparation d'automobiles et de motocycles
8458;300;Industrie manufacturière
8458;201;Santé humaine et action sociale
8458;157;Hébergement et restauration
8458;135;Construction
8458;125;Activités spécialisées, scientifiques et techniques
8458;110;Transports et entreposage
8458;69;Administration publique
8458;57;Agriculture, sylviculture et pêche
8458;56;Activités de services administratifs et de soutien
8458;32;Autres activités de services
8458;28;Activités financières et d'assurance
8458;26;Arts, spectacles et activités récréatives
8458;17;Enseignement
8458;16;Activités immobilières
8458;10;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8458;9;Information et communication
8458;1;Industries extractives
8457;1855;Commerce -  réparation d'automobiles et de motocycles
8457;1562;Hébergement et restauration
8457;1242;Santé humaine et action sociale
8457;1033;Activités de services administratifs et de soutien
8457;822;Industrie manufacturière
8457;723;Construction
8457;695;Transports et entreposage
8457;662;Activités spécialisées, scientifiques et techniques
8457;358;Enseignement
8457;324;Information et communication
8457;300;Administration publique
8457;267;Autres activités de services
