annee;ROME;rome_label;cbassin;lib_bassin_bmo19;oee;defm_abc;ind_tension_d
2020;G1202;Animation d'activités culturelles ou ludiques;7535;AGEN;7;14;3
2020;G1203;Animation de loisirs auprès d'enfants ou d'adolescents;7535;AGEN;15;36;3
2020;G1204;Éducation en activités sportives;7535;AGEN;17;20;5
2020;G1501;Personnel d'étage;7535;AGEN;20;1;3
2020;G1602;Personnel de cuisine;7535;AGEN;67;57;3
2020;G1603;Personnel polyvalent en restauration;7535;AGEN;137;50;5
2020;G1605;Plonge en restauration;7535;AGEN;32;39;5
2020;G1703;Réception en hôtellerie;7535;AGEN;9;10;2
2020;G1801;Café, bar brasserie;7535;AGEN;9;1;1
2020;G1803;Service en restauration;7535;AGEN;79;44;2
2020;H1206;Management et ingénierie études, recherche et développement industriel;7535;AGEN;3;6;5
2020;H2102;Conduite d'équipement de production alimentaire;7535;AGEN;18;2;1
2020;H2206;Réalisation de menuiserie bois et tonnellerie;7535;AGEN;7;13;5
2020;H2902;Chaudronnerie - tôlerie;7535;AGEN;6;1;5
2020;H2913;Soudage manuel;7535;AGEN;4;13;5
2020;H3301;Conduite d'équipement de conditionnement;7535;AGEN;9;11;3
2020;H3302;Opérations manuelles d'assemblage, tri ou emballage;7535;AGEN;5;63;1
2020;I1309;Maintenance électrique;7535;AGEN;6;8;4
2020;I1401;Maintenance informatique et bureautique;7535;AGEN;2;1;5
2020;I1604;Mécanique automobile et entretien de véhicules;7535;AGEN;26;9;5
2020;I1606;Réparation de carrosserie;7535;AGEN;3;1;5
2020;J1301;Personnel polyvalent des services hospitaliers;7535;AGEN;46;65;1
2020;J1304;Aide en puériculture;7535;AGEN;13;3;5
2020;J1501;Soins d'hygiène, de confort du patient;7535;AGEN;26;22;5
2020;K1206;Intervention socioculturelle;7535;AGEN;16;5;3
2020;K1207;Intervention socioéducative;7535;AGEN;48;1;5
2020;K1301;Accompagnement médicosocial;7535;AGEN;8;1;5
2020;K1302;Assistance auprès d'adultes;7535;AGEN;133;3;5
2020;K1303;Assistance auprès d'enfants;7535;AGEN;45;134;1
2020;K1304;Services domestiques;7535;AGEN;126;127;5
2020;K2104;Éducation et surveillance au sein d'établissements d'enseignement;7535;AGEN;24;40;1
2020;K2111;Formation professionnelle;7535;AGEN;52;21;2
2020;K2204;Nettoyage de locaux;7535;AGEN;30;219;2
2020;K2503;Sécurité et surveillance privées;7535;AGEN;1;32;2
2020;M1203;Comptabilité;7535;AGEN;63;30;4
2020;M1501;Assistanat en ressources humaines;7535;AGEN;15;8;2
2020;M1502;Développement des ressources humaines;7535;AGEN;11;12;5
2020;M1601;Accueil et renseignements;7535;AGEN;22;8;2
2020;M1602;Opérations administratives;7535;AGEN;29;3;1
2020;M1605;Assistanat technique et administratif;7535;AGEN;31;14;1
2020;M1607;Secrétariat;7535;AGEN;60;92;3
2020;M1805;Études et développement informatique;7535;AGEN;9;1;5
2020;N1101;Conduite d'engins de déplacement des charges;7535;AGEN;13;1;1
2020;N1103;Magasinage et préparation de commandes;7535;AGEN;52;163;2
2020;N1105;Manutention manuelle de charges;7535;AGEN;17;112;1
2020;N4101;Conduite de transport de marchandises sur longue distance;7535;AGEN;54;69;5
2020;N4105;Conduite et livraison par tournées sur courte distance;7535;AGEN;24;2;4
2020;A1201;Bûcheronnage et élagage;9333;AIX  GARDANNE SALON;1;3;5
2020;A1203;Entretien des espaces verts;9333;AIX  GARDANNE SALON;88;155;3
2020;A1401;Aide agricole de production fruitière ou viticole;9333;AIX  GARDANNE SALON;1;3;1
2020;A1402;Aide agricole de production légumière ou végétale;9333;AIX  GARDANNE SALON;5;2;2
2020;A1403;Aide d'élevage agricole et aquacole;9333;AIX  GARDANNE SALON;1;4;5
2020;A1405;Arboriculture et viticulture;9333;AIX  GARDANNE SALON;8;12;1
2020;A1413;Fermentation de boissons alcoolisées;9333;AIX  GARDANNE SALON;6;7;5
2020;A1414;Horticulture et maraîchage;9333;AIX  GARDANNE SALON;5;22;3
2020;A1416;Polyculture, élevage;9333;AIX  GARDANNE SALON;3;2;3
2020;B1803;Réalisation de vêtements sur mesure ou en petite série;9333;AIX  GARDANNE SALON;13;37;2
2020;C1102;Conseil clientèle en assurances;9333;AIX  GARDANNE SALON;45;7;5
2020;C1109;Rédaction et gestion en assurances;9333;AIX  GARDANNE SALON;9;15;5
2020;C1205;Conseil en gestion de patrimoine financier;9333;AIX  GARDANNE SALON;3;20;3
2020;C1206;Gestion de clientèle bancaire;9333;AIX  GARDANNE SALON;28;1;4
2020;C1501;Gérance immobilière;9333;AIX  GARDANNE SALON;19;14;5
