Numéro,Nom de station,Altitude,"Type de Station","Ouvert / Fermé",Latitude,Longitude,Précipitations,Température,Vent,Nombre de jours de vent …,Rayonnement,Insolation,Nombre de jours avec fraction d’insolation …,Occurrence de Brouillard,Orage,Grêle,Neige
12254001,SALLES LA SOURC,0578 m,0,O,"44,41","2,482",Complet,Complet,Absent,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
13001006,AIX-LES MILLES,0106 m,2,O,"43,504","5,365",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
13001009,AIX EN PROVENCE,0173 m,1,O,"43,529","5,424",Complet,Complet,Absent,Absent,Partiel,Complet,Complet,Absent,Absent,Absent,Absent
13004003,ARLES,0001 m,1,O,"43,51","4,693",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
13047001,ISTRES,0023 m,0,O,"43,523","4,922",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
13054001,MARIGNANE,0009 m,0,O,"43,437","5,216",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
13103001,SALON DE PROVENCE,0058 m,0,O,"43,603","5,104",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14137001,CAEN-CARPIQUET,0067 m,0,O,"49,18","-0,456",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
14624001,L OUDON LIEURY_SAPC,0052 m,2,O,"48,989","-0,009",Complet,Complet,Complet,Complet,Partiel,Absent,Absent,Absent,Absent,Absent,Absent
15014004,AURILLAC,0639 m,0,O,"44,898","2,421",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Complet
15053001,COLTINES,0979 m,1,O,"45,074","2,99",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
15114002,MARCENAT,1075 m,1,O,"45,302","2,833",Complet,Complet,Complet,Complet,Partiel,Partiel,Partiel,Absent,Absent,Absent,Absent
15120005,MAURIAC,0674 m,1,O,"45,222","2,293",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
15122002,MAURS,0480 m,1,O,"44,734","2,166",Complet,Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent
16089001,COGNAC,0030 m,0,O,"45,665","-0,315",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Absent,Absent,Absent,Absent
16113001,LA COURONNE,0058 m,1,O,"45,627","0,099",Complet,Complet,Complet,Partiel,Partiel,Complet,Complet,Absent,Absent,Absent,Absent
16225001,MONTEMBOEUF,0246 m,1,O,"45,787","0,543",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
16360001,SALLES DE BARB,0071 m,2,O,"45,45","-0,111",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
16390001,TUSSON,0088 m,1,O,"45,949","0,062",Complet,Complet,Complet,Partiel,Complet,Complet,Complet,Absent,Absent,Absent,Absent
16397001,VERDILLE,0088 m,2,F,"45,888","-0,065",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
17300001,LA ROCHELLE,0004 m,2,O,"46,152","-1,159",Complet,Complet,Absent,Absent,Complet,Complet,Complet,Absent,Absent,Absent,Absent
17415003,SAINTES,0038 m,2,O,"45,761","-0,652",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
18033001,BOURGES,0161 m,0,O,"47,059","2,359",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
18092001,AVORD,0175 m,0,O,"47,052","2,642",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Complet
18241002,SANCERRE,0240 m,2,F,"47,336","2,799",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
19010001,ARGENTAT,0190 m,1,O,"45,101","1,937",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
19031008,BRIVE,0112 m,0,O,"45,148","1,474",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Absent,Absent,Absent,Absent
19146001,NAVES,0450 m,1,O,"45,321","1,772",Complet,Complet,Complet,Partiel,Complet,Absent,Absent,Absent,Absent,Absent,Absent
19276006,UZERCHE,0422 m,1,O,"45,396","1,568",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
20004002,AJACCIO,0005 m,0,O,"41,918","8,792",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
20041001,CAP PERTUSATO,0107 m,0,O,"41,374","9,178",Complet,Complet,Complet,Absent,Absent,Absent,Absent,Complet,Complet,Complet,Complet
20050001,CALVI,0057 m,0,O,"42,529","8,791",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Complet
20092001,CONCA,0253 m,2,O,"41,717","9,348",Complet,Complet,Complet,Complet,Absent,Absent,Absent,Absent,Absent,Absent,Absent
20096005,CORTE,0362 m,2,O,"42,299","9,174",Complet,Complet,Absent,Absent,Complet,Absent,Absent,Absent,Absent,Absent,Absent
20114002,FIGARI,0020 m,0,O,"41,505","9,103",Complet,Complet,Complet,Complet,Absent,Complet,Complet,Complet,Complet,Complet,Complet
20148001,BASTIA,0010 m,0,O,"42,54","9,485",Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet,Complet
